datetime,direct_radiation,PM25_PED,PM10_PED,SO2_PED,O3_PED,NO2_PED,CO_PED,RH_PED,TMP_PED,WDR_PED,WSP_PED,is_festival,is_weekend,AirQualityIndex,station_name
2/1/2021 2:00:00,0,19,38.41666667,3.625,1.791666667,29.48958333,0.49,57,11.7,322,2.3,1,0,1,TLA
3/19/2021 3:00:00,0,28,38,57,15,21,0.08,59,10.4,324,3.1,0,0,1,TLA
5/20/2021 1:00:00,52,1,8,1.5,38,14,0.1971875,21,17.4,321,1.3,0,0,1,TLA
8/23/2021 10:00:00,0,21.91666667,44.39583333,3.583333333,22.375,26.58333333,0.59,56,15.7,327,2.3,0,0,1,TLA
11/5/2021 4:00:00,0,28,38,36,10,18,0.18,72,9.7,322,3,0,0,1,TLA
12/14/2021 1:00:00,0,8,21,26,7,18,0.14,68,12.1,325,3.3,0,0,1,TLA
3/4/2022 3:00:00,0,26,51,3.020833333,13.58333333,30,0.3210416667,40,13.8,329,1.1,0,0,1,TLA
7/26/2022 2:00:00,0,9,21,1.958333333,13.58333333,20.36458333,0.17625,69,15.7,326,3.1,0,0,1,TLA
8/11/2022 21:00:00,353,12.28125,25.34375,1.5,17.3125,23.52083333,0.4291666667,72.54166667,17,255.8541667,2.1,0,0,1,TLA
7/20/2023 7:00:00,0,24,43,55,4,25,0.63,74,13.7,324,3.5,0,0,1,TLA
1/1/2021 0:00:00,61,19,37,2,6,37,0.6,36,10.5,29,1.6,1,0,1,TLA
3/29/2021 16:00:00,497,19,43,2,76,20,0.44,29,23.2,10,1.8,0,0,1,TLA
5/14/2021 10:00:00,0,12,22,2,22,18,0.5,57,16.2,351,2.1,0,0,1,TLA
6/16/2021 10:00:00,0,9,29,2,36,24,0.49,44,17.4,340,2.7,0,0,1,TLA
6/18/2021 6:00:00,0,14,27,2,5,31,0.39,70,13.7,348,1.8,0,0,1,TLA
6/18/2021 11:00:00,0,9,26,2,30,19,0.5,50,17.9,2,1.7,0,0,1,TLA
7/14/2021 22:00:00,211,6,21,2,6,24,0.26,71,15.1,319,3.5,0,0,1,TLA
10/4/2021 18:00:00,684,6,21,2,20,21,0.4,44,21,335,4,0,0,1,TLA
10/5/2021 18:00:00,656,8,22,2,8,20,0.27,69,16.9,349,4.2,0,0,1,TLA
11/16/2021 4:00:00,0,7,14,2,9,22,0.13,53,7.9,316,1.3,0,0,1,TLA
4/28/2022 1:00:00,15,23,29,2,13,35,0.25,65,13.6,35,1.1,0,0,1,TLA
6/1/2022 5:00:00,0,15,27,2,14,20,0.08,65,14.8,323,2.7,0,0,1,TLA
6/15/2022 13:00:00,15,5,22,2,34,15,0.28,43,21.8,343,1.7,0,0,1,TLA
6/23/2022 15:00:00,71,21,36,2,73,21,0.41,29,22.1,32,2.2,0,0,1,TLA
8/9/2022 3:00:00,0,14,22,2,16,10,0.1003125,71,14.8,329,2.8,0,0,1,TLA
9/16/2022 2:00:00,0,6,13,2,11,16,0.2822916667,67,15,328,3.5,1,0,1,TLA
9/16/2022 13:00:00,8,10,21,2,33,7,0.14,47,20.3,352,3.2,1,0,1,TLA
9/20/2022 20:00:00,764,16.5,25.875,2,13,19,0.3129166667,52,18.2,350,4.5,0,0,1,TLA
4/24/2023 2:00:00,0,21,48,2,16,33,0.23,36,18.8,347,2.3,0,0,1,TLA
5/31/2021 6:00:00,0,20,47.47916667,3,3,34,0.42,66,14.6,327,2.1,0,0,1,TLA
11/23/2021 21:00:00,131,27.67708333,83.10416667,3,11,27,0.53,55,16.2,339,3.8,0,0,1,TLA
2/1/2022 21:00:00,715,16,50,3,9,47,1.17,36,18.2,45,5.3,0,0,1,TLA
5/13/2022 6:00:00,0,20,50,3,2,31,0.73,57,13.5,317,1.7,0,0,1,TLA
5/16/2022 4:00:00,0,17,31,3,20,22,0.11,40,14.4,319,2.4,0,0,1,TLA
5/30/2022 2:00:00,0,12,28,3,22,14,0.12,54,18.1,38,1.3,0,0,1,TLA
6/6/2022 7:00:00,0,25,70,3,2,43,1.25,36,15.9,319,2.1,0,0,1,TLA
6/10/2022 11:00:00,0,23,51,3,38,32,0.6,46,19.3,359,1.8,0,0,1,TLA
9/16/2022 10:00:00,0,5,13,3,23,7,0.2927083333,57,17.2,347,2.5,1,0,1,TLA
8/23/2023 2:00:00,0,9,21,3,19,16,0.13,68,15.8,338,3,0,0,1,TLA
9/26/2023 3:00:00,0,14,27,3,14,28,0.1,71.05208333,14.96666667,320.2395833,2.414583333,0,0,1,TLA
7/2/2021 8:00:00,0,24,36,4,3,24,0.94,84,14,333,2,0,0,1,TLA
10/20/2022 6:00:00,0,21,55,4,1,36,0.92,73,9.8,318,1.3,0,0,1,TLA
6/11/2021 0:00:00,109,13.98958333,30.40625,5,20,17,0.09,56,14.7,326,3.2,0,0,1,TLA
6/17/2021 20:00:00,409,13,34,5,14,21,0.36,60,17,337,4.6,0,0,1,TLA
11/15/2021 6:00:00,0,13,19,5,10,15,0.21,70,8.1,330,1.3,1,0,1,TLA
6/9/2022 4:00:00,0,21,41,5,12,20,0.14,62,16.8,336,2.6,0,0,1,TLA
6/4/2021 22:00:00,68,23,24,6,2,51,0.75,82,15.6,24,1.1,0,0,1,TLA
9/12/2022 7:00:00,0,10,32,6,17,27,0.7,65,14,353,2.3,0,0,1,TLA
3/10/2021 3:00:00,0,7,20,7,10,30.1875,0.11,45,12.2,318,1.7,0,0,1,TLA
10/26/2022 3:00:00,0,21,39,7,4,24,0.2,67,16.6,316,2,0,0,1,TLA
8/28/2023 4:00:00,0,17,21,7,14,10,0.1,74,15.9,322,3.1,0,0,1,TLA
7/21/2023 5:00:00,0,11,27,8,9,24,0.22,65,15.9,345,1.9,0,0,1,TLA
6/9/2021 3:00:00,0,18.17708333,34.875,13,24,15,0.26,69,16.2,327,2.3,0,0,1,TLA
5/26/2021 8:00:00,0,34,37,16,5,36,1.08,66,15.5,321,1.1,0,0,1,TLA
4/2/2021 0:00:00,151,8,10,1,21,10,0.09,60,11.7,327,4.4,1,0,1,TLA
5/31/2021 4:00:00,0,10,31.3125,1,14,21,0.1,63,15,325,1.8,0,0,1,TLA
6/14/2021 21:00:00,330,13.34375,27.76041667,1,8,13,0.28,66,16.4,352,2.5,0,0,1,TLA
9/6/2021 0:00:00,10,10,12,1,20,16,0.22,84,14.1,327,2.6,0,0,1,TLA
9/6/2021 6:00:00,0,2,3,1,3,29,0.47,80,14.3,330,1.2,0,0,1,TLA
9/10/2021 15:00:00,208,10,30,1,48,10,0.31,40,19.8,357,4.1,0,0,1,TLA
9/22/2021 17:00:00,769,1,45,1,31,10,0.26,43,20.9,4,5,0,0,1,TLA
3/10/2022 0:00:00,212,13,30,1,20,11,0.1,27,17.3,33,3.7,0,0,1,TLA
6/2/2022 22:00:00,415,15,29,1,28,18,0.28,53,17.8,358,2.9,0,0,1,TLA
6/28/2022 18:00:00,812,3,7,1,13,27,0.49,79,15.1,317,3.9,0,0,1,TLA
6/29/2022 1:00:00,10,12,24,1,1,29,0.35,75,15.1,324,3.4,0,0,1,TLA
7/26/2022 22:00:00,607,9,23,1,19,25,0.22,54,18.6,339,4,0,0,1,TLA
